city|location|price|bedrooms|baths|size
Lahore|Bahria Town - Safari Villas, Bahria Town - Sector B|29000000|4|3|2700
Lahore|Askari 11 - Sector B Apartments, Askari 11|28000000|3|3|2250
Lahore|Nasheman-e-Iqbal Phase 2, Nasheman-e-Iqbal|36500000|5|5|2250
Lahore|Bahria Town - Safari Villas, Bahria Town - Sector B|18000000|4|5|1800
Lahore|Bahria Homes, Bahria Town - Sector E|15800000|3|4|1350
Lahore|Bahria Town - Gulbahar Block, Bahria Town - Sector C|43000000|5|6|2250
Lahore|Bahria Town - Sector C, Bahria Town|15000000|3|4|1125
Lahore|Bahria Town - Ghaznavi Block, Bahria Town - Sector F|41000000|5|6|2250
Lahore|DHA Phase 1 - Block L, DHA Phase 1|205000000|5|6|9000
Lahore|PGECHS Phase 2 - Block E, PGECHS Phase 2|54800000|7|8|4500
Lahore|Audit & Accounts Phase 1 - Block E, Audit & Accounts Phase 1|22500000|5|6|1800
Lahore|DHA 9 Town, DHA Defence|39900000|4|5|1800
Lahore|DHA Phase 7, DHA Defence|43000000|4|5|2250
Lahore|DHA Phase 6 - Block M, DHA Phase 6|75000000|5|6|4500
Lahore|DHA Phase 7, DHA Defence|77500000|5|6|4500
Lahore|DHA Phase 6, DHA Defence|74500000|5|6|4500
Lahore|Johar Town, Lahore|44500000|5|6|2700
Lahore|Lake City - Sector M-5, Lake City|37500000|5|6|2250
Lahore|IEP Engineers Town - Block E5, IEP Engineers Town - Sector A|16500000|5|5|1125
Lahore|Bahria Town - Block AA, Bahria Town - Sector D|18600000|3|4|1125
Lahore|Lake City - Sector M-7A, Lake City|41000000|6|6|1980
Lahore|DHA 9 Town, DHA Defence|27000000|3|4|1125
Lahore|DHA Phase 6 - Block M, DHA Phase 6|74900000|5|6|4500
Lahore|DHA 11 Rahbar Phase 2, DHA 11 Rahbar|22500000|3|4|1125
Lahore|Paragon City - Orchard 1 Block, Paragon City|35000000|5|5|2250
Lahore|DHA Phase 3 - Block XX, DHA Phase 3|39000000|3|4|1575
Lahore|DHA Phase 5, DHA Defence|35000000|4|5|2025
Lahore|DHA Phase 4, DHA Defence|101500000|5|6|4500
Lahore|PCSIR Staff Colony, Lahore|28500000|6|7|2700
Lahore|PCSIR Staff Colony, Lahore|25000000|5|6|1912
Lahore|Nasheman-e-Iqbal Phase 2, Nasheman-e-Iqbal|36500000|4|6|2250
Lahore|Nasheman-e-Iqbal Phase 2, Nasheman-e-Iqbal|48500000|7|9|4500
Lahore|PGECHS Phase 2, Punjab Govt Employees Society|8000000|3|3|562
Lahore|Green Town Sector D2 - Block 6, Green Town Sector D2|4000000|2|2|900
Lahore|Military Accounts Housing Society, Lahore|13800000|3|3|900
Lahore|DHA Phase 6, DHA Defence|37500000|4|5|1125
Lahore|DHA Phase 5, DHA Defence|350000000|5|6|9000
Lahore|Bahria Town - Alamgir Block Extension, Bahria Town - Sector F|31000000|5|6|2250
Lahore|Bahria Town - Block EE, Bahria Town - Sector D|16000000|3|4|1125
Lahore|DHA Phase 5, DHA Defence|62500000|5|6|2250
Lahore|State Life Housing Phase 1, State Life Housing Society|45000000|5|6|4500
